Id,Number of gates,Parameterized gates,Non-local gates,Training time,Training iterations,CrossEntropy,Accuracy,Hilbert-Schmidt norm,Meyer Wallach
182,25,11,12,1294.7389397621155,65,0.7855424886187363,0.6666666666666666,0.12859693149197376,0.9719068665082744
183,30,15,9,1264.9791269302368,85,0.509336788693819,0.8666666666666667,0.13612268739109917,0.9469840555079224
184,30,13,12,342.59334921836853,25,0.7367665764112484,0.8,0.283129349090024,0.9048257186339859
185,29,13,11,305.04717898368835,20,0.7810062375587189,0.7333333333333333,0.13514455503422243,0.9309919620462
186,25,13,10,1081.2790610790253,50,0.6703711715960825,0.8666666666666667,0.1323472657160501,0.9343013230362286
187,28,10,13,745.4508819580078,60,0.3107064722804554,1.0,0.14259087897200937,0.9597775862029908
188,23,11,10,962.3626778125763,46,0.7642589461569235,0.8,0.14141524715684747,0.894773446795577
189,28,15,11,671.5684716701508,46,0.7265363616307029,0.7333333333333333,0.16682054995500442,0.8801574071303178
190,32,18,9,1501.9060370922089,51,0.7407163387207081,0.8,0.13926996882024384,0.951456509355263
191,25,15,8,579.476016998291,43,0.6812767886225914,0.8,0.1380804580130698,0.8781058884556228
192,30,18,10,728.7101981639862,35,0.8176027998426069,0.6666666666666666,0.14142318000706242,0.8848067010446286
193,29,13,9,895.26895403862,78,0.7640878037693714,0.8666666666666667,0.14067441624174584,0.6951685402485134
194,25,12,10,281.849618434906,24,0.8263584956369342,0.8,0.14847726212188125,0.9183992082899857
195,31,16,9,1533.1960833072662,66,0.6332383825750669,0.8666666666666667,0.14097184888259068,0.9483600376415575
196,24,12,11,537.8827106952667,46,0.5828774046626729,0.5333333333333333,0.13704388754696684,0.7391395509374233
197,30,18,11,1035.8733885288239,54,0.6818909630087762,0.7333333333333333,0.14098990623441904,0.9006759438260994
198,22,10,11,1307.7935450077057,75,0.742188142165218,0.9333333333333333,0.27264236816049275,0.71824563676324
199,28,16,11,434.6452841758728,27,0.5898840889362867,0.8,0.13303289453198724,0.8161760326601333
200,28,16,9,509.05033826828003,35,0.8278100767896416,0.6666666666666666,0.1310717808205634,0.7817181149646469
201,27,12,10,1195.036400794983,60,0.6695038665273475,0.6666666666666666,0.12810788308156412,0.8276282902597404
202,25,9,11,862.2813949584961,50,0.4775588092809129,0.9333333333333333,0.14458075750087584,0.76565842958802
203,31,14,12,966.7237613201141,59,0.6509869310573575,0.8,0.1266303974731433,0.9510423649424743
204,27,14,11,530.7801861763,36,0.635542799339803,0.9333333333333333,0.13478378475128217,0.934676047155699
205,31,15,8,1240.4695615768433,54,0.7305402829323192,0.7333333333333333,0.14475483986149318,0.9921658641205218
206,26,11,10,841.02126121521,42,0.988265734097876,0.4666666666666667,0.27402891590459083,0.5003456008663583
207,23,9,11,433.8033995628357,48,0.8242097078821289,0.7333333333333333,0.13036075209002618,0.8135693851702492
208,24,8,10,420.4897291660309,48,0.918596328688188,0.6,0.14063989370863222,0.9702949730873837
209,26,13,11,1043.3474304676056,44,0.5200592414836649,0.7333333333333333,0.14407794920052322,0.9187384567861963
