Id,Number of gates,Parameterized gates,Non-local gates,Training time,Training iterations,CrossEntropy,Accuracy,Hilbert-Schmidt norm,Meyer Wallach,FP1,FP2,DKL
182,25,11,12,1294.7389397621155,65,0.7855424886187363,0.6666666666666666,0.12859693149197376,0.9719068665082744,0.06469823453188286,0.011409706412154642,0.18388439196717898
183,30,15,9,1264.9791269302368,85,0.509336788693819,0.8666666666666667,0.13612268739109917,0.9469840555079224,0.06306464694495657,0.012046814871121886,0.27773638564340575
184,30,13,12,342.59334921836853,25,0.7367665764112484,0.8,0.283129349090024,0.9048257186339859,0.12538431923044363,0.0305197396661642,0.49093574764173553
185,29,13,11,305.04717898368835,20,0.7810062375587189,0.7333333333333333,0.13514455503422243,0.9309919620462,0.06097836226720176,0.010141029165646857,0.2539755440501995
186,25,13,10,1081.2790610790253,50,0.6703711715960825,0.8666666666666667,0.1323472657160501,0.9343013230362286,0.0616398772295697,0.010811555149952422,0.1928462241025589
187,28,10,13,745.4508819580078,60,0.3107064722804554,1.0,0.14259087897200937,0.9597775862029908,0.06220902819497252,0.01212143680483639,0.2815111136127648
188,23,11,10,962.3626778125763,46,0.7642589461569235,0.8,0.14141524715684747,0.894773446795577,0.06155343651970158,0.011418592652411233,0.24269611713024358
189,28,15,11,671.5684716701508,46,0.7265363616307029,0.7333333333333333,0.16682054995500442,0.8801574071303178,0.06181159083528339,0.008564744630775802,0.07440583628625894
190,32,18,9,1501.9060370922089,51,0.7407163387207081,0.8,0.13926996882024384,0.951456509355263,0.06129223320879187,0.008116502915520322,0.05751026100257537
191,25,15,8,579.476016998291,43,0.6812767886225914,0.8,0.1380804580130698,0.8781058884556228,0.06265313483683395,0.008786064018468048,0.07605238892610838
192,30,18,10,728.7101981639862,35,0.8176027998426069,0.6666666666666666,0.14142318000706242,0.8848067010446286,0.06206333438159888,0.010038240308179291,0.13652707026490565
193,29,13,9,895.26895403862,78,0.7640878037693714,0.8666666666666667,0.14067441624174584,0.6951685402485134,0.06031176173862715,0.012086865436832073,0.31974743648625126
194,25,12,10,281.849618434906,24,0.8263584956369342,0.8,0.14847726212188125,0.9183992082899857,0.06026036452050739,0.01023505675480387,0.17016458717745792
